ID,Título do paper,SWEBOK Target,SWEBOK Objective,SWEBOK Technique,SWEBOK Activity,GenAI,ISO 25010,MaturityLevel,Framework/Agent,Evaluation / Maturity,Limitations,Notes / References,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files
S30,Multi-Agent hierarchical workflow for autonomous code generation with Large Language Models,Unit Testing,"correctness testing or functional testing, Non-functional Testing",Techniques Based on the Nature of the Application,"Test Design and Implementation, Controlled Experiments and Test Execution","GPT (OpenAI) — n/a — (generic/unspecified), RL model (Q-learning) — n/a — (agent)","Performance Efficiency, Functional Suitability","PoC, Academic","Multi-Agent Hierarchical Workflow. Integrates AlphaCodium, LangChain, and LangGraph. Specific agents: Programmer, Unit Test, Executor, and Debugging.","Academic PoC (IEEE Student Conference). Evaluated on 3 classic datasets (e.g., California Housing). Compared with ChatGPT, Claude, and Perplexity. Achieved 100% functional accuracy in the tests performed and maximum score in readability. Fast execution (3.4s - 5.7s).","Limited Scope: The current prototype focuses only on data analysis via CSV files. Scalability: Needs to evolve to support complex formats (JSON, XML) and real-time data. Security Risk: The article cites the need for supervision to avoid vulnerabilities in AI-generated code.","""The system operates by analyzing the dataset... assigning sequentially working agents: a programmer agent..., a unit test agent verifies the code, and an executor agent executes the code."" Highlight for the Skeleton-of-Code technique to reduce latency.",2025,,,,,,,,"Akilesh, S. and Sekar, Rajeev and Om Kumar, C. U. and Prakalya, D. and Suguna, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002712410&doi=10.1109%2FSCEECS64059.2025.10940635&partnerID=40&md5=82551e1af9a6048e627580f4f80faab8,,,,,Cited by: 1,10.1109/SCEECS64059.2025.10940635,Ada (programming language); Application programs; Autonomous agents; C (programming language); Co...,,,Multi-Agent_hierarchical_workflow_for_autonomous_code_generation_with_Large_Language_Models.pdf
S31,Using LLM-Based Deep Reinforcement Learning Agents to Detect Bugs in Web Applications,"System Testing, Acceptance Testing",correctness testing or functional testing,Experience-Based,Controlled Experiments and Test Execution,GPT-4o — n/a —,"Functional Suitability, Flexibility","PoC, Academic",DRL (Deep Reinforcement Learning) Agent based on PPO (Proximal Policy Optimization) using Stable Baselines3 and Selenium.,"Academic PoC (ICAART 2025). Validated on a custom web application (Vue.js). The LLM-assisted agent reached maximum reward in 5 epochs, tying with the agent that had access to real browser data, and vastly outperforming the agent without this information (11 epochs). LLM inference accuracy was 81.5% on real web-extracted elements.","Inference Latency: Running the LLM at each step is slow; mitigated via caching. App Complexity: Tested only on a simple app; complex apps may increase inference noise. Generalization: Not validated in scenarios where ""clickability"" is not the critical factor.","""Our hypothesis is that combining the inferential capabilities of LLMs with the robustness of DRL can match the accuracy of methods that rely on direct data collection."" Approach focused on efficient Cross-Browser Testing.",2025,,,International Conference on Agents and Artificial Intelligence,,3,,1001 - 1008,"Sakai, Yuki and Tahara, Yasuyuki and Ohsuga, Akihiko and Sei, Yuichi",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001979448&doi=10.5220%2F0013248800003890&partnerID=40&md5=e11343925c0bfbc45c2e1839fd45504a,,,,,Cited by: 0,10.5220/0013248800003890,,,,132488.pdf
S32,Agentic AI for Behavior-Driven Development Testing Using Large Language Models,Acceptance Testing,"correctness testing or functional testing,  Usability and HCI Testing",Specification-Based,"Test Planning Process, Test Design and Implementation",Gemma — 7B — (local),"Functional Suitability, Interaction Capability","Prototype, Academic","BDDTestAIGen – Agentic AI framework with LLM + classic NLP (POS, SRL) + RAG + human-in-the-loop, integrated with Behave / Gherkin.","Academic prototype with empirical evaluation. Quantitative evaluation (1,983 synthetic tests, matching rate, error types) and qualitative evaluation (study with developers and non-programmers on commercial games).",Dependence on human-in-the-loop. There is no fully autonomous test generation. Exclusive focus on BDD. Problems with unit and type conversion. Does not automatically update the SUT (System Under Test).,"“First study to combine LLMs, NLP, human-in-the-loop and Agentic AI to automate BDD test creation.” Correct matching in >50% of cases with the fine-tuned 8B model.",2025,,,International Conference on Agents and Artificial Intelligence,,2,,805 - 815,"Päduraru, Ciprian Ionut and Zavelca, Miruna and Ştefǎnescu, Alin",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001687420&doi=10.5220%2F0013374400003890&partnerID=40&md5=9a5f5ecb6df9a0851aa031db5d4e7894,,,,,Cited by: 0,10.5220/0013374400003890,,,,133744.pdf
S33,FlexFL: Flexible and Effective Fault Localization With Open-Source Large Language Models,Unit Testing,correctness testing or functional testing,Fault-Based and Mutation Techniques,Test Incident Reporting,"Llama-3.1 — 8B — (fine-tuned open-source), GPT-4 — n/a — (synthetic data)",Maintainability,Academic,"FlexFL, a two-phase framework with LLM agents (Agent4SR and Agent4LR) + classic FL techniques (SBFL, IRFL, HybridFL). Uses ReAct + simulated function calls.","High academic maturity. Extensive evaluation on Defects4J v1.0 and v2.0.0. Comparison with SOTA (AutoFL, AgentFL, SBIR, Ochiai). Top-1/3/5, MAP, MRR metrics. Public code and replication package.",Does not execute tests or fix defects. Depends on the quality of available tests/reports. Performance is still limited by the base LLM's capacity; failures in complex or ambiguous bugs.,"""FlexFL outperforms existing fault localization techniques and can localize 93 bugs that cannot be localized by non-LLM-based techniques."" First FL approach with open-source LLMs.",2025,,,IEEE Transactions on Software Engineering,,51,5,1455 - 1471,"Xu, Chuyang and Liu, Zhongxin and Ren, Xiaoxue and Zhang, Gehao and Liang, Ming and Lo, David",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000368545&doi=10.1109%2FTSE.2025.3553363&partnerID=40&md5=fb2b1f9a800980a644f4ff5a2d40e048,,,,,Cited by: 0,10.1109/TSE.2025.3553363,Computer debugging; Computer software selection and evaluation; Open source software; Outages; Pr...,,,FlexFL Flexible and Effective Fault Localization With Open-Source Large Language Models_0Qq.pdf
S34,Self-Collaboration Code Generation via ChatGPT,Unit Testing,correctness testing or functional testing,Techniques Based on the Nature of the Application,"Test Design and Implementation, Controlled Experiments and Test Execution","Llama-3 — 8B — Instruct, Qwen2 — 7B — Instruct, Mistral-Nemo — 12B — Instruct","Functional Suitability, Maintainability",Ungrouped,Does not propose a specific framework. Uses direct prompting and chain-of-thought as a cognitive mechanism.,Broad experimental study. Evaluation across multiple SE benchmarks. Accuracy and success metrics per task. No integration into real testing pipelines.,No operational autonomy. Tasks are isolated. Performance sensitive to prompting. Absence of continuous integration or incremental learning.,"""LLMs demonstrate strong zero-shot reasoning capabilities across a wide range of software engineering tasks."" Evidences that LLMs can support testing even without fine-tuning.",2024,,,ACM Transactions on Software Engineering and Methodology,,33,7,,"Dong, Yihong and Jiang, Xue and Jin, Zhi and LI, Ge",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198255497&doi=10.1145%2F3672459&partnerID=40&md5=c103ee9b9813f3e4926767fd4a5695f6,,,,,Cited by: 50,10.1145/3672459,Benchmarking; Computer software selection and evaluation; Intelligent agents; Intelligent virtual...,,,2304.07590v3_qfq.pdf
S35,First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents,"System Testing, Acceptance Testing",correctness testing or functional testing,Specification-Based,Controlled Experiments and Test Execution,"GPT-3.5 — n/a — , GPT-4 — n/a — , Codex — n/a — , LLaMA — n/a — (various sizes)","Functional Suitability, Reliability",Ungrouped,AutoGen multi-agent framework with collaborative agents,"Work-in-progress / initial experimental study. Empirical evaluation on 15 Gherkin scenarios (simple, complex, and negative) in the PetClinic system; detailed metrics (success rate, time, number of interactions, tokens, exceptions). Comparison between GPT-3.5 and GPT-4o.","Limited scale. Strong reliance on the LLM. Hallucination problems, especially in negative scenarios. Failure detection is still weak. High costs (GPT-4o). Lack of persistent learning between executions.","“LLM agent system is able to automatically run the given test scenarios by autonomously exploring the system under test, generating executable test code on the fly, and evaluating execution results.” GPT-4o successfully executed 100% of simple and complex scenarios.",2024,,,,,,,12 - 15,"Bergsmann, Severin and Schmidt, Alexander and Fischer, Stefan and Ramler, Rudolf",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207104093&doi=10.1145%2F3678719.3685692&partnerID=40&md5=96e8a10edaf283adc4a4c1910d96fd0e,,,,,Cited by: 1,10.1145/3678719.3685692,Autonomous agents; Intelligent agents; Model checking; Specification languages; Domains specific ...,,,3678719.3685692.pdf
S36,AutoCodeRover: Autonomous Program Improvement,Unit Testing,correctness testing or functional testing,Reference Models for Structure-Based Techniques,"Test Incident Reporting, Test Environment Set-up and Maintenance","GPT-3.5-Turbo — n/a — 0125, GPT-4o — n/a —","Maintainability, Functional Suitability",Ungrouped,AutoCodeRover,"High experimental maturity. Implemented tool, open-source, evaluated on a large scale (SWE-bench / SWE-bench-lite). Quantitative metrics (pass@1, pass@3, cost, time). Compared with SWE-agent and Devin.","Dependence on existing tests for better performance. Possibility of plausible but incorrect patches (overfitting). Dependence on a closed model (GPT-4). Failures when the issue does not contain clear ""hints"". Limited coverage when there is no test suite.","""AutoCodeRover can leverage debugging techniques such as spectrum-based fault localization using tests."" 19% success rate on SWE-bench-lite (pass@1), average cost US$0.43; tests used as a validation oracle.",2024,,,,,,,1592 - 1604,"Zhang, Yuntong and Ruan, Haifeng and Fan, Zhiyu and Roychoudhury, Abhik",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203182652&doi=10.1145%2F3650212.3680384&partnerID=40&md5=310c02174e2875183e70cc48042048fa,,,,,Cited by: 27; All Open Access; Gold Open Access,10.1145/3650212.3680384,Computer debugging; Computer software maintenance; Computer software selection and evaluation; Co...,,,AutoCodeRover Autonomous Program Improvement_cga.pdf
S37,A New Generation of Intelligent Development Environments,System Testing,Non-functional Testing,Syntax Testing,Test Incident Reporting,GPT-4 — n/a — (reasoning / patch generation),"Reliability, Interaction Capability",Ungrouped,Intelligent Development Environment (IDE 2.0),"Low (Visionary / Theoretical Proposal). Does not present evaluation metrics (F1-score, Coverage). It is a position paper that argues about the future of AI-based software engineering. Based on formal language principles and previous experiences with Microsoft Research tools.","Determinism: Criticizes the non-deterministic nature of current LLMs (""hallucinations""). Argues that for real autonomy, we need Neuro-Symbolic AI (Generative AI + Rigid Logical Verification), as LLMs alone will never be reliable for critical systems. Legacy: The difficulty of adapting this vision to legacy codebases (Java/C++) that were not designed to be easily machine-analyzable.","Autonomy vs. Reliability: This is the key quote for your thesis: ""We must move from probabilistic generation to provable correctness."" The author argues that ""efficient autonomous updates"" will only be possible when the IDE can prove that the AI's alteration did not break anything, without relying solely on running 1000 tests that might be flawed.",2024,,,,,,,43 - 46,"Marron, Mark",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202433134&doi=10.1145%2F3643796.3648452&partnerID=40&md5=a3b21d5959d1802461780485e0036d84,,,,,Cited by: 0; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,10.1145/3643796.3648452,Computer debugging; Intelligent agents; Software testing; AI assisted programming; Automated tool...,,,2406.09577v1.pdf
S38,Coverage-based Strategies for the Automated Synthesis of Test Scenarios for Conversational Agents,"System Testing, Acceptance Testing",correctness testing or functional testing,Specification-Based,Test Design and Implementation,unspecified — n/a — (conceptual),"Functional Suitability, Performance Efficiency","High, Academic",Asymob (Model-Driven Engineering based tool).,"Academic (AST 2024). Evaluated on 6 open-source agents (Dialogflow and Rasa). The exhaustive strategy guaranteed 100% coverage and correctness (all tests passed), outperforming the industrial tool Botium Crawler. Reduction strategies decreased execution time by up to 96%.","Model Dependency: Requires access to the internal specification of the bot design (White-box/Grey-box), not working in pure black-box without prior conversion. Scalability: The exhaustive strategy generates thousands of test cases, making execution slow (>6h).","Control/Baseline Article. Useful for your review as a counterpoint: shows how to generate tests autonomously without AI, focusing on rigorous coverage metrics that are often lacking in LLM approaches. ""Test suite reduction is one of the open challenges... we propose strategies... oriented to test case reduction"".",2024,,,,,,,23 - 33,"Cañizares, Pablo C. and Ávila, Daniel and Perez-Soler, Sara and Guerra, Esther and Lara, Juan De",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196398493&doi=10.1145%2F3644032.3644456&partnerID=40&md5=1a07cb9731740db2bace5b78bda5d552,,,,,Cited by: 5; All Open Access; Gold Open Access,10.1145/3644032.3644456,Open source software; Software agents; Software testing; Automated synthesis; Chatbots; Conversat...,,,3644032.3644456.pdf
S39,Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage,Unit Testing,correctness testing or functional testing,Specification-Based,Test Design and Implementation,N/A — n/a — (does not use GenAI),"Functional Suitability, Maintainability",Academic,"AutoGen (Microsoft). ""Triple-Agent""","Academic Maturity (Experiment on Standard Dataset). Scenario: 100 problems from the MBPP (Mostly Basic Python Problems) dataset that had low coverage. Results: Average Branch Coverage increased from 67% to 83%. The success rate (Pass Rate) of the generated tests was 85%. Efficiency: Total cost of less than $0.20 USD to generate tests for 100 programs, executing in less than 5 minutes.","Reliability (Pass Rate < 100%): 15% of tests failed or generated errors (including an infinite loop case). Dataset Complexity: MBPP contains simple/algorithmic problems. The article did not evaluate performance in complex enterprise systems with external dependencies. Absence of Human: The lack of human supervision prevented the correction of subtle errors where the model ""confused built-in functions"".","Efficiency vs. Cost: This article is the best evidence for your thesis that ""Efficiency"" does not require supercomputers. With an intelligent architecture (Agents + BDD), low-cost models outperform simple test generation. Correction Autonomy: The autonomous feedback loop corrected most syntactic errors without human intervention, demonstrating Self-Healing at development time.",2024,,,,,,,,"Stojanovic, Dimitrije and Pavković, Bogdan and Četić, Nenad B. and Krunić, Momčilo V. and Vidakovic, Luka",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216854650&doi=10.1109%2FTELFOR63250.2024.10819096&partnerID=40&md5=590d88c939c87c1b052534a891819d4c,,,,,Cited by: 1,10.1109/TELFOR63250.2024.10819096,Distribution transformers; Electric transformer testing; Model checking; Problem oriented languag...,,,Unit_Test_Generation_Multi-Agent_AI_System_for_Enhancing_Software_Documentation_and_Code_Coverage.pdf
S40,Automated test generation to evaluate tool-augmented LLMs as conversational AI agents,"System Testing, Acceptance Testing","correctness testing or functional testing, Non-functional Testing",Specification-Based,"Test Design and Implementation, Test Incident Reporting",ChatGPT-4o-mini — n/a — (zero temperature chosen),"Reliability, Functional Suitability",Ungrouped,"The article proposes a framework to generate evaluation datasets for tool-augmented LLMs as conversational AI agents, using intermediate graph structures to improve test quality and coverage","Evaluation method: Benchmarking of various LLMs on the ALMITA dataset, evaluating performance in customer support scenarios. Evaluated dimensions: Response retrieval, correct response, API retrieval, correct API, correct API parameters, test correctness, and conversation correctness. Key findings: LLMs perform well in single interactions but struggle with full conversations.",Lack of quantitative evaluation of test diversity. Limited number of human annotations. Use of a single LLM (GPT-4) for test generation. Evaluation of multiple LLMs using a single prompt. Metrics can be too rigid. Need for more advanced conversational metrics to handle response variations. Current LLMs struggle to maintain correct conversations during user interactions.,"The study presents a novel method for generating evaluation datasets for tool-augmented LLMs as conversational AI agents, highlighting that while these models perform well in single interactions, they struggle to handle complete conversations.",2024,,,,,,,54 - 68,"Arcadinho, Samuel and Aparício, David and Almeida, Mariana S.C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216591803&partnerID=40&md5=eeb0044155d867548dffcb3f87a276bb,,,,,Cited by: 0,,Automatic test pattern generation; Computational linguistics; Am generals; Automated test generat...,,,Automated test generation to evaluate tool-augmented LLMs as conversational AI agents_ZLU.pdf
S41,RGD: Multi-LLM Based Agent Debugger via Refinement and Generation Guidance,Unit Testing,"correctness testing or functional testing, Non-functional Testing",Fault-Based and Mutation Techniques,"Test Environment Set-up and Maintenance, Test Incident Reporting","GPT-4 — n/a — , GPT-4o — n/a — , Claude — n/a — 3-Sonnet, Mistral-NeMo-Instruct — n/a — , Llama-3.1 — 8B — Instruct","Functional Suitability, Reliability",Ungrouped,"RGD (Refinement and Guidance Debugging). Multi-Agent Architecture with 3 roles: Guide Agent, Debug Agent, Feedback Agent.","High (IEEE/arXiv 2024). Evaluated on standard benchmarks: HumanEval, MBPP, and their extended versions (ET). RGD (with GPT-4o) achieved 97.6% accuracy (Pass@1) on HumanEval, outperforming the state-of-the-art (LDB) and Self-Debugging methods (+9.8% vs Baseline). Ablation showed that removing the Guide Agent reduces accuracy by 4-6%.",Computational Cost: The multi-agent architecture with RAG and feedback iterations consumes many tokens and time. Test Case Dependency: Effectiveness depends on the quality of visible tests provided in the prompt.,"""RGD decomposes the code generation task... enabling iterative refinement based on self-reflection and feedback."" Highlights the use of a Memory Pool to store past ""success guides,"" learning from experience.",2024,,,,,,,136 - 141,"Jin, Haolin and Sun, Zechao and Chen, Huaming",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215607472&doi=10.1109%2FICA63002.2024.00037&partnerID=40&md5=bad4ee6cce20c207147b12cb02bf5210,,,,,Cited by: 0,10.1109/ICA63002.2024.00037,Automatic programming; Autonomous agents; Behavioral research; Computer debugging; Error correcti...,,,RGD_MultiLLM_Based_Agent_Debugger_via.pdf
S42,Test-Agent: A Multimodal App Automation Testing Framework Based on the Large Language Model,"System Testing, Acceptance Testing","correctness testing or functional testing,  Usability and HCI Testing",Experience-Based,"Test Design and Implementation, Controlled Experiments and Test Execution","GPT-4o — n/a — n/a , GPT-4o-mini — n/a — n/a","Interaction Capability, Flexibility","PoC, Academic","Test-Agent (Multimodal Framework). Modules: Visual Perception, Interaction Analysis, Test Execution. Uses ADB for execution.","Academic PoC (IEEE DTPI 2024). Evaluated on 7 real devices (Pixel, iPhone, Huawei) and simulators. Compared with Appium, Espresso, and XCUITest. Reduced test creation time from ~3 hours (Appium) to 0.1 hours. Achieved a 96-97% success rate in tasks like login and shopping.","Latency Dependency: Visual processing + LLM inference at each step can be slower than native scripts (although the article focuses on creation efficiency). Generalization: Evaluated on standard apps (e-commerce, social); apps with non-standard UIs (games) can be challenging.","""This innovative approach eliminates the need for pre-written test scripts... relying solely on screenshots... significantly reducing the workload of writing test cases."" Highlight for the Multimodal approach (Vision + Text).",2024,,,,,,,609 - 614,"Li, Youwei and Li, Yangyang and Yang, Yangzhao",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214923908&doi=10.1109%2FDTPI61353.2024.10778901&partnerID=40&md5=2df3aabdcab54e9e039471ef43a47e60,,,,,Cited by: 2,10.1109/DTPI61353.2024.10778901,Application programs; Computer debugging; Computer operating systems; Mobile agents; Model checki...,,,Test_Agent_A_Multimodal_App_Automation_Testing_Framework_Based_on_the_Large_Language_Model.pdf
S43,Fight Fire With Fire: How Much Can We Trust ChatGPT on Source Code-Related Tasks?,Unit Testing,Non-functional Testing,Techniques Based on the Nature of the Application,Test Incident Reporting,unspecified — n/a — (integrates DQN & CV models),"Reliability, Security",Ungrouped,Multi-Agent Collaboration Simulation (Conceptual).,"Rigorous Empirical Study (Datasets: HumanEval, MBXP, QuixBugs). - Autonomy Failure: ChatGPT failed to identify its own errors in 39% of code generation cases and 28% of repairs. - Test Reports: The use of Test Reports helped identify 77% more security vulnerabilities, but the textual explanations about why the code was wrong were inaccurate in 75% of cases.","Self-Contradictory Hallucinations: The model frequently suffers from logical inconsistency (e.g., generates code claiming it is safe, but in the verification step says it is vulnerable, or vice versa). Sycophancy (Agreement Bias): In the Guiding Question strategy, the model tends to agree with the human (or prompt) that there is an error, even if the code is correct (increasing False Positives).","Blow to Total Autonomy: The article categorically concludes that ""ChatGPT should be viewed as an assistive tool, rather than a replacement for autonomous developers and testers."" Oracle Inaccuracy: For your thesis, this proves that Pure LLM Test Agents (without real code execution/sandbox) are unreliable as oracles, as AI cannot reliably distinguish between a real bug and a hallucination.",2024,,,IEEE Transactions on Software Engineering,,50,12,3435 - 3453,"Yu, Xiao and Liu, Lei and Hu, Xing and Keung, Jacky Wai and Liu, Jin and Xia, Xin",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208721822&doi=10.1109%2FTSE.2024.3492204&partnerID=40&md5=11df2cbefd5bdd1d5eed10afaaccef29,,,,,Cited by: 2,10.1109/TSE.2024.3492204,C (programming language); Chatbots; Computer debugging; Computer software maintenance; Computer s...,,,Fight_Fire_With_Fire_How_Much_Can_We_Trust_ChatGPT_on_Source_CodeRelated_Tasks.pdf
S44,Extending the Frontier of ChatGPT: Code Generation and Debugging,Unit Testing,"correctness testing or functional testing, Non-functional Testing",Techniques Based on the Nature of the Application,Test Incident Reporting,"GPT-3.5-Turbo — n/a — (main experiments), GPT-4 — n/a — (smaller validation)","Functional Suitability, Performance Efficiency",Academic,Direct Interactive Prompting. Did not use agent frameworks (like LangChain).,"Empirical Academic Study. Scenario: 128 LeetCode problems (Easy, Medium, Hard) covering Trees, Graphs, DP, etc. - Initial Success Rate: 71.9% of the problems were solved correctly on the first try. - Debugging Success Rate: Only 36.7% of the initially failed problems were fixed after error feedback.","Self-Correction Failure: The model showed ""limited adaptability"" to feedback. Often, even after receiving the error, it could not fix the logic. Difficulty with Complexity: Worse performance on Dynamic Programming and Greedy Algorithms problems, where multi-step reasoning is required. Knowledge Cutoff: The model's knowledge was limited to pre-2021 data (at the time of the study).","Evolution of Autonomy: This paper is the perfect evidence that simple Prompting is not enough for autonomous maintenance. The fact that it only corrected 36% of errors shows the need for Agent architectures (seen in your other articles) that use external tools and RAG to improve this rate. Efficiency: The study also analyzed execution time and memory, noting that AI sometimes generates functionally correct but inefficient solutions (O(n²) vs O(n)).",2024,,,,,,,,"Sakib, Fardin Ahsan and Khan, Saadat Hasan and Karim, A. H.M.Rezaul",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207460221&doi=10.1109%2FICECET61485.2024.10698405&partnerID=40&md5=9061172122ad4b9fa410d2c10d273c63,,,,,Cited by: 8,10.1109/ICECET61485.2024.10698405,Acceptance tests; Computer debugging; Program debugging; Structured programming; ChatGPT; Code de...,,,Extending the Frontier of ChatGPT_ Code Generation and Debugging.pdf
S45,"PENTEST-AI, an LLM-Powered Multi-Agents Framework for Penetration Testing Automation Leveraging Mitre Attack",System Testing,Security Testing,Experience-Based,"Test Planning Process, Controlled Experiments and Test Execution",ChatGPT — n/a — (powered by GPT-4 per introduction),"Security, Interaction Capability",PoC,PENTESTAI (Proposed framework) implemented using CrewAI (which is based on LangChain).,"Proof of Concept (PoC). A simplified flow with 3 agents (Scan, Validation, Reporting) was implemented, which validated the core concepts and the ability of GPT-4.0 to generate correct security recommendations without customized reporting tools.","Hallucinations: GPT-4.0 generated hallucinations in some results during tests. Tool Coverage: Need to develop libraries to cover the ~405 MITRE ATT&CK techniques. Zero-day: The current framework does not discover zero-day vulnerabilities (would require a Reverse Engineering agent). Partial Implementation: The ""Control Plane"" described in the architecture was not implemented in the PoC.","The article proposes an autonomy level of ""User-Guided Adaptation"" to ensure alignment with human goals. The approach aims to mitigate the shortage of qualified cybersecurity professionals, enabling ""citizen penetration testers"".",2024,,,,,,,763 - 770,"Bianou, Stanislas G. and Batogna, Rodrigue G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206186144&doi=10.1109%2FCSR61664.2024.10679480&partnerID=40&md5=31791a7ca25673d064f6b1d90e42bb04,,,,,Cited by: 10,10.1109/CSR61664.2024.10679480,Model checking; Multi agent systems; AI agent; Citizen penetration tester; Cyber security; Langua...,,,PENTEST-AI_an_LLM-Powered_Multi-Agents_Framework_for_Penetration_Testing_Automation_Leveraging_Mitre_Attack.pdf
S46,CODEAGENT: Enhancing Code Generation with Tool-Integrated Agent Systems for Real-World Repo-level Coding Challenges,Unit Testing,correctness testing or functional testing,Reference Models for Structure-Based Techniques,"Test Design and Implementation, Controlled Experiments and Test Execution","GPT-4 — n/a — 4.0, SecurityBERT — n/a — (specialized), CyBERT — n/a — , Falcon — n/a —","Functional Suitability, Maintainability",Ungrouped,CODEAGENT,"Custom Experiment/Benchmark. The authors created CODEAGENTBENCH (101 tasks extracted from 5 real Python repositories: numpy-ml, tinydb, etc.). Used the Pass@1 metric. Results: CODEAGENT improved Pass@1 between 2.0% and 15.8% compared to LLMs without agents. Comparison: Outperformed GitHub Copilot in accuracy in the tests conducted.","Model Capability: Smaller or less capable models (like Vicuna-13B) could not leverage the tools, showing poor performance even with the framework. Planning Strategy: The ""Tool-Planning"" strategy (planning before execution) proved less effective than more direct approaches like Rule-based or ReAct for this type of task. Evaluations were limited by available computational resources.","""To the best of our knowledge, CODEAGENT is the first agent framework specifically for repo-level code generation."" The study highlights that over 70% of functions in open-source projects are not ""standalone"", justifying the need for agents that understand the entire repository context, something previous tools failed to do.",2024,,,Proceedings of the Annual Meeting of the Association for Computational Linguistics,,1,,13643 - 13658,"Zhang, Kechi and Li, Jia and LI, Ge and Shi, Xianjie and Jin, Zhi",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204422336&doi=10.18653%2Fv1%2F2024.acl-long.737&partnerID=40&md5=99fd7c9dd58ad15390110ca57961ce7c,,,,,Cited by: 3,10.18653/v1/2024.acl-long.737,Autonomous agents; Benchmarking; Computational linguistics; Intelligent agents; Search engines; S...,,,CODEAGENT Enhancing Code Generation with Tool-Integrated Agent Systems for Real-World Repo-level Coding Challenges_aeu.pdf
S47,Towards LLM-Assisted System Testing for Microservices,"System Testing, Integration Testing","correctness testing or functional testing,  Interface and API Testing",Specification-Based,"Test Design and Implementation, Controlled Experiments and Test Execution","GPT-4 — n/a — , GPT-3.5-Turbo — n/a — , Claude — n/a — 2, Llama-2 — 70B — , CodeLlama — 34B — , WizardCoder — n/a — , DeepSeekCoder — n/a — , Vicuna — 13B —","Functional Suitability, Compatibility",Academic,Kashef (Communicative Agents-based tool).,"Academic Maturity (Work in Progress/Short Paper). Scenario: 4 web applications (including E-commerce and Pastebin). - GPT-4: 100% success rate on simple tasks, but dropped to 30% on complex e-commerce flows. - GPT-3.5: Failed almost all complex tasks (0% success in e-commerce), unable to handle long HTML contexts.","Ethical Refusals (Safety Filters): CodeLlama refused to generate test scripts, classifying them as ""malicious activities,"" which is a real barrier to using open-source models in security/penetration testing. Context Window: GPT-3.5 got lost trying to process the full page HTML for verification. Stability: Even with GPT-4, the tool required multiple code regenerations to get dynamic selectors right.","Evaluation Challenge: The article highlights the difficulty of creating a reliable ""Oracle"" in system testing. Kashef's innovation was using a dedicated agent (HTML Interpreter) just to read the screen and determine if the test passed, rather than relying solely on code assertions. Microservices Architecture: Emphasizes that in microservices, unit tests are not enough; the complexity lies in integration, and autonomous agents are promising for covering this E2E testing gap that is currently done manually.",2024,,,,,,,29 - 34,"Almutawa, Mustafa and Ghabrah, Qusai and Canini, Marco",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204295455&doi=10.1109%2FICDCSW63686.2024.00011&partnerID=40&md5=c288614757b12066e8a8ed4ab7ec145e,,,,,Cited by: 2,10.1109/ICDCSW63686.2024.00011,Ability testing; Autonomous agents; Black-box testing; Computer debugging; Computer software sele...,,,Towards_LLMAssisted_System_Testing_for_Microservices.pdf
